University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
Adelphi University,Garden City,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,0-None,$25.000,$49.110,$18.565,$71.675,Merit,115,41%,$25.053,$46.265,$2.9m,N/A,Full Tuition,Presidential Award and YouAreWelcomeHere Scholarship,https://www.adelphi.edu/aid/scholarships/institutional/undergraduate/,Presidential Award: Merit-based scholarship; students are automatically considered with their admission application. YouAreWelcomeHere Scholarship: Awarded to two first-year international students. Eligible students are contacted directly to complete a separate application.,$0,$22.565,Automatic consideration,78%,48%,10%,-,,-,,71%,Early Action Only,,early_admission
Agnes Scott College,Decatur,GA,Georgia,Private,Southeast (Deep South),,Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,Very High,On-campus,1-Historically,$5.000,$50.604,$13.605,$68.209,Both,19,100%,$34.874,$30.651,$0.7m,No,Full ride,Marvin B. Perry Presidential Scholarship,https://www.agnesscott.edu/admission/undergraduate-admission/scholarships-financial-aid/index.html,"The college's most competitive, full-tuition Merit Scholarship. Top first-year applicants are invited to compete. Focuses on academics, leadership, character, and personal achievement. Renewable for up to four years.",$0,$4.000,By invitation only,68%,,19%,9%,,78,7,68%,Both,,early_admission
Albion College,Albion,MI,Michigan,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$30.000,$56.950,$13.500,$74.450,Merit,51,98%,$46.808,$25.508,$2.4m,N/A,$35.000,Distinguished Albion Scholarship,https://www.albion.edu/offices/financial-aid/aid-scholarships/scholarships/,"Link directs to departmental awards. The main Merit Scholarships, such as the Distinguished Albion Scholarship, are awarded automatically upon admission based on the application file. No separate application is needed.",$21.950,$39.450,Automatic consideration,83%,,8%,,,,17,78%,Early Action Only,,early_admission
Alfred University,Alfred,NY,New York,Private,Northeast (Mid-Atlantic),,Rural: Distant,1K - 9K,Coeducational,No,Professional,High,On-campus,1-Historically,$35.000,$41.500,$15.380,$60.880,Merit,129,100%,$25.387,$32.383,$3.3m,N/A,,,,,,TBD,-,"48,3%","14,3%",12%,10%,2346,336,35,43%,Early Action Only,,early_admission
Allegheny College,Meadville,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$30.000,$56.550,$14.940,$75.490,Merit,61,97%,$43.598,$29.158,$2.6m,N/A,$40.000,Trustee Scholarship,https://sites.allegheny.edu/admissions/scholarships/,"Awarded to students who balance academic excellence with leadership, co-curricular involvement, and community engagement. Consideration is automatic with the admission application. No separate scholarship application required.",$16.550,$35.490,Automatic consideration,"63,8%","15,8%",9%,5%,1009,159,8,51%,Both,,early_admission
Alma College,Alma,MI,Michigan,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,1-Historically,$20.000,$47.430,$13.128,$64.558,Both,31,97%,$35.566,$28.992,$1.1m,No,Full Tuition,Distinguished Presidential Scholarship,https://www.alma.edu/financial-aid/scholarships/,The highest merit-based award. No separate application required; all applicants for admission are automatically considered based on academic performance and the rigor of their high school curriculum.,$0,$17.128,By invitation only,66%,18%,13%,-,,-,,66%,Early Action Only,,early_admission
American University,Washington,DC,Dist. of Columbia,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$5.000,$58.772,$16.930,$79.702,Merit,51,7%,$40.714,$36.841,$2.1m,N/A,Full ride,Emerging Global Leader,https://www.american.edu/admissions/international/au-egls-apply.cfm,"For high-achieving international students dedicated to positive civic and social change. Requires a separate application, bank letter, and English proficiency scores. Preference for those from diverse, underrepresented backgrounds.",$0,$4.000,Requires application,"47,4%","38,3%",22%,17%,1096,420,71,"45,7%",Both,Yes,early_admission
Amherst College,Amherst,MA,Massachusetts,Private,Northeast (New England),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$70.480,$18.390,$92.870,Need,199,84%,$81.202,$7.638,$16.2m,Yes (Need-blind),unknown,,,,,,,"9,8%","2,7%",39%,45%,4955,134,60,"8,8%",Early Decision only,,early_admission
Appalachian State University,Boone,NC,North Carolina,Public,Southeast,,Town: Distant,20K+,Coeducational,No,Professional,Very High,On-campus,0-None,$45.000,$25.768,$12.868,$42.636,Merit,,,,,,N/A,$2.000,International Student Scholarship,https://international.appstate.edu/scholarships/international-student-scholarships,A merit-based scholarship for degree-seeking international students on an F-1 or J-1 visa. Applicants are automatically considered upon admission; no separate scholarship application is needed.,$23.768,$40.636,Automatic consideration,"88,6%","84,8%",20%,2%,454,385,6,89%,Early Action Only,,early_admission
Auburn University,Auburn,AL,Alabama,Public,Southeast (Deep South),,City: Small,20K+,Coeducational,No,Professional,High,On-campus,1-Historically,$45.000,$34.922,$16.626,$55.548,Merit,,,,,,N/A,$17.000,Presidential Scholarship,https://www.auburn.edu/scholarship/undergraduate/competitive-merit.php,For non-resident students. Consideration is automatic for students who apply for admission by the deadline. Selection is based on high school GPA and standardized test scores (ACT/SAT).,$17.922,$38.548,Automatic consideration,"46,0%",,24%,-,,-,-,50%,Early Action Only,,early_admission
Augustana College,Rock Island,IL,Illinois,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$35.000,$51.598,$13.070,$68.668,Both,345,85%,$34.458,$31.542,$11.9m,No,$30.000,Presidential Scholarship,https://www.augustana.edu/admissions/scholarships,The highest Merit Scholarship awarded to first-year students at the time of admission. No separate application is necessary. Renewable with a cumulative GPA of 3.0.,$21.598,$38.668,Automatic consideration,"67,6%","43,4%",14%,15%,2259,981,149,53%,Both,,early_admission
Austin College,Sherman,TX,Texas,Private,South (Central),"Dallas, TX",City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$30.000,$48.655,$13.342,$65.997,Merit,13,100%,$34.242,$29.316,$0.4m,N/A,$32.000,Presidential Scholarship,https://www.austincollege.edu/admission/financial-aid/scholarships/,"A top merit-based scholarship. Students are automatically considered with their application for admission. Selection is based on academic achievement, leadership, and service.",$16.655,$33.997,Automatic consideration,"71,1%","33,9%",12%,4%,224,76,3,"28,4%",Both,,early_admission
Babson College,Babson Park,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$0,$57.152,$21.550,$82.702,Both,91,12%,$47.628,$33.190,$4.3m,Yes (Need-aware),Full ride+stipend,Global Scholarship plus need-based supplement,https://www.babson.edu/undergraduate/admission/tuition-and-financial-aid/international-students/,"A four-year, full-tuition scholarship for international students. Admission is need-aware. Requires the CSS PROFILE for consideration. Aims to admit highly qualified candidates from around the world.",$0,$0,Automatic consideration,20%,,40%,-,,-,-,15%,Both,Yes,early_admission
Barnard College,New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,1K - 9K,Women's,No,Arts and Sciences,Exclusively,On-campus,0-None,$0,$69.888,$19.020,$92.908,Need,65,14%,$43.317,$47.511,$2.8m,Yes (Need-aware),,,,,,,,8%,,76%,-,,-,-,"4,8%",Early Decision only,,early_admission
Bates College,Lewiston,ME,Maine,Private,Northeast (New England),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$66.590,$18.780,$89.370,Need,96,57%,$69.714,$15.668,$6.7m,Yes (Need-aware),,,,,,,-,"13,1%","3,6%",43%,40%,3966,141,57,"10,2%",Early Decision only,Yes,early_admission
Baylor University,Waco,TX,Texas,Private,South (Central),"Dallas, TX",City: Midsize,20K+,Coeducational,No,Professional,High,On-campus,5-Very,$55.000,$58.100,$15.922,$78.022,Merit,297,67%,$24.763,$48.316,$7.4m,N/A,$20.000,Invitation to Excellence,https://admissions.web.baylor.edu/costs-aid/scholarships-aid/merit-based-scholarships,An invitation-only event for high-achieving students who apply by the priority deadline. Attendees receive a scholarship. Selection is based on a holistic review of the admission application.,$38.100,$58.022,By invitation only,"51,0%","67,7%",16%,8%,2007,1358,114,51%,Both,,early_admission
Beloit College,Beloit,WI,Wisconsin,Private,Midwest (Great Lakes),,City: Small,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$30.000,$60.886,$11.264,$76.150,Both,128,100%,$44.747,$28.547,$5.5m,No,$40.000,Presidential Scholarship,https://www.beloit.edu/admission/tuition-aid/merit-scholarships/,The highest Merit Scholarship offered. All applicants for admission are automatically considered. Based on exceptional scholastic achievement.,$20.886,$36.150,Automatic consideration,"57,4%","22,9%",10%,6%,1717,393,23,"46,5%",Early Action Only,,early_admission
Bennington College,Bennington,VT,Vermont,Private,Northeast (New England),,Town: Distant,<1K,Coeducational,No,Arts and Sciences,High,On-campus,0-None,$30.000,$66.262,$19.108,$89.370,Both,114,93%,$60.779,$26.505,$6.9m,No,unknown,,,,,TBD,-,"48,0%","10,9%",16%,15%,1261,137,20,"41,7%",Both,,early_admission
Bentley University,Waltham,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$55.000,$61.480,$20.140,$85.620,Merit,272,45%,$21.364,$59.986,$5.8m,N/A,50% tuition,President Scholarship and others,https://www.collegexpress.com/scholarships/bentley-presidents-scholarship/2001480/,The President Scholarship is the most prestigious merit award. Students are automatically considered based on their admission application. No separate application needed. Selection is based on academic excellence.,$30.740,$54.880,Unclear,48%,37%,22%,,1821,-,-,47%,Early Decision only,Yes,early_admission
