University/College Name,School Link,City,State,Name of the state,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Cost of Attendance from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate
Adelphi University,https://www.adelphi.edu,Garden City,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,0-None,$49.110,$18.565,$71.675,24-25,Merit,115,"40,9%",$25.053,$46.265,USN25,$2.9m,N/A,Full Tuition,Presidential Award and YouAreWelcomeHere Scholarship,https://www.adelphi.edu/aid/scholarships/institutional/undergraduate/,Presidential Award: Merit-based scholarship; students are automatically considered with their admission application. YouAreWelcomeHere Scholarship: Awarded to two first-year international students. Eligible students are contacted directly to complete a separate application.,$0,$22.565,Automatic consideration,78%
Agnes Scott College,https://www.agnesscott.edu,Decatur,GA,Georgia,Private,Southeast (Deep South),,Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,Very High,On-campus,1-Historically,$50.604,$13.605,$68.209,24-25,Both,19,"100,0%",$34.874,$30.651,CDS24,$0.7m,No,Full ride,Marvin B. Perry Presidential Scholarship,https://www.agnesscott.edu/admission/undergraduate-admission/scholarships-financial-aid/index.html,"The college's most competitive, full-tuition Merit Scholarship. Top first-year applicants are invited to compete. Focuses on academics, leadership, character, and personal achievement. Renewable for up to four years.",$0,$4.000,By invitation only,68%
Alabama A&M University,https://www.aamu.edu,Normal,AL,Alabama,Public,Southeast (Deep South),,City: Midsize,5K - 10K,Coeducational,Yes,Professional,High,On-campus,0-None,$26.626,$7.992,$38.618,24-25,Merit,No data,,No data,,,,N/A,$8.610,Normalite Opportunity Scholarship,https://www.aamu.edu/admissions-aid/financial-aid/scholarships/index.html,"For out-of-state, first-time freshmen. Must be unconditionally admitted. Award based on a Composite Predictive Index (CPI) score calculated during admission. Renewable with a 2.80 GPA and completion of 30 credit hours per year.",$18.016,$30.008,Automatically Awardarded,66%
Albion College,https://www.albion.edu,Albion,MI,Michigan,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$56.950,$13.500,$74.450,24-25,Merit,51,"98,1%",$46.808,$25.508,CDS24,$2.4m,N/A,$35.000,Distinguished Albion Scholarship,https://www.albion.edu/offices/financial-aid/aid-scholarships/scholarships/,"Link directs to departmental awards. The main Merit Scholarships, such as the Distinguished Albion Scholarship, are awarded automatically upon admission based on the application file. No separate application is needed.",$21.950,$39.450,Automatic consideration,83%
Alfred University,https://www.alfred.edu,Alfred,NY,New York,Private,Northeast (Mid-Atlantic),,Rural: Distant,1K - 9K,Coeducational,No,Professional,High,On-campus,1-Historically,$41.500,$15.380,$60.880,24-25,Merit,129,"100,0%",$25.387,$32.383,CDS24,$3.3m,N/A,,,,,,TBD,-,"48,3%"
Allegheny College,https://www.allegheny.edu,Meadville,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$56.550,$14.940,$75.490,24-25,Merit,61,"96,8%",$43.598,$29.158,CDS24,$2.6m,N/A,$40.000,Trustee Scholarship,https://sites.allegheny.edu/admissions/scholarships/,"Awarded to students who balance academic excellence with leadership, co-curricular involvement, and community engagement. Consideration is automatic with the admission application. No separate scholarship application required.",$16.550,$35.490,Automatic consideration,"63,8%"
Alma College,https://www.alma.edu,Alma,MI,Michigan,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,1-Historically,$47.430,$13.128,$64.558,23-24,Both,31,"96,9%",$35.566,$28.992,CDS24,$1.1m,No,Full Tuition,Distinguished Presidential Scholarship,https://www.alma.edu/financial-aid/scholarships/,The highest merit-based award. No separate application required; all applicants for admission are automatically considered based on academic performance and the rigor of their high school curriculum.,$0,$17.128,By invitation only,66%
American International College,https://www.aic.edu,Springfield,MA,Massachusetts,Private,Northeast (New England),,City: Midsize,1K - 9K,Coeducational,No,Professional,Majority,On-campus,0-None,$42.970,$15.130,$62.100,23-24,None,,,,,,,N/A,,,,,,,,89%
American University,https://www.american.edu,Washington,DC,Dist. of Columbia,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$58.772,$16.930,$79.702,24-25,Merit,51,"6,5%",$40.714,$36.841,USN25,$2.1m,N/A,Full ride,Emerging Global Leader,https://www.american.edu/admissions/international/au-egls-apply.cfm,"For high-achieving international students dedicated to positive civic and social change. Requires a separate application, bank letter, and English proficiency scores. Preference for those from diverse, underrepresented backgrounds.",$0,$4.000,Requires application,"47,4%"
Amherst College,https://www.amherst.edu,Amherst,MA,Massachusetts,Private,Northeast (New England),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$70.480,$18.390,$92.870,24-25,Need,199,"84,3%",$81.202,$7.638,CDS24,$16.2m,Yes (Need-blind),,,,,,,,"9,8%"
