University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious? ,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Number of countries represented among admitted students,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
Boston University,Boston,MA,Massachusetts,Private,Northeast (New England) England),"Boston, MA",City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$68.102,$19.020,$91.122,Merit,225,6%,$45.811,$41.467,$10.3m,N/A,Full Tuition,Trustee Scholarship,https://www.bu.edu/admissions/tuition-aid/scholarships-financial-aid/first-year-merit/trustee/,"BU's most prestigious Merit Scholarship. Requires a separate application with an additional essay. Awarded to students with exceptional academic credentials, leadership, and unique talents.",$0,$23.020,Requires application,"10,9%",13%,36%,,,,,122,"9,5%",Early Decision only,Yes,global_top_200
Brown University,Providence,RI,Rhode Island,Private,Northeast (New England),,City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$71.312,$17.444,$92.756,Need,265,30%,$78.765,$10.063,$20.9m,Yes (Need-blind),,,,,,,,"5,2%","3,8%",63%,65%,10646,401,261,166,"3,8%",Early Decision only,,global_top_201
California Institute of Technology (Caltech),Pasadena,CA,California,Private,West Coast,"Los Angeles, CA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Minority,Off-campus,0-None,$65.898,$20.283,$90.181,Need,63,50%,$74.155,$12.603,$4.7m,Yes (Need-aware),,,,,,,,3%,,65%,,,,,20,3%,REarly Action Only,,global_top_202
Carnegie Mellon University,Pittsburgh,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$65.636,$18.166,$87.802,None,,,,,,N/A,,,,,,,,"11,5%",9%,44%,,,,,43,"11,1%",Early Decision only,,global_top_203
Case Western Reserve University,Cleveland,OH,Ohio,Private,Midwest (Great Lakes),,City: Large,10K - 20K,Coeducational,No,Balanced,Minority,On-campus,0-None,$66.605,$18.430,$89.035,Both,294,36%,$37.878,$47.840,$11.1m,Yes (Need-aware),Full Tuition,Scholarship Competitions,https://case.edu/admission/tuition-aid/scholarships,"Offers various competitive scholarships, including some full-tuition awards. Requires a separate application and participation in a scholarship competition weekend for finalists.",$0,$22.430,Requires application,"28,7%","20,2%",14%,9%,11578,2343,202,86,"28,7%",Both,Yes,global_top_204
Columbia University (College and SeaS),New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,$71.845,$17.580,$93.425,Need,227,22%,$83.347,$5.110,$18.9m,Yes (Need-aware),,,,,,,,"3,9%","2,6%",64%,71%,13025,337,240,93,"2,8%",Early Decision only,,global_top_205
Cornell University,Ithaca,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$69.314,$19.428,$92.742,Both,334,28%,$83.060,$5.508,$27.7m,Yes (Need-aware),Demonstrated Need,Tata Scholarship,https://admissions.cornell.edu/how-to-apply/first-year-international-applicants,This is a need-based scholarship for undergraduate students from India. Applicants must apply for financial aid along with their admission application to be considered.,$0,,Automatic consideration,"7,9%","2,8%",66%,75%,16839,478,358,107,"6,3%",Early Decision only,,global_top_206
Dartmouth College,Hanover,NH,New Hampshire,Private,Northeast (New England),,Town: Remote,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$68.019,$19.749,$91.768,Need,418,69%,$81.378,$7.142,$34.0m,Yes (Need-blind),,,,,,,,"5,3%",,67%,,8898,,174,68,"3,58%",Early Decision only,,global_top_207
Duke University,Durham,NC,North Carolina,Private,Southeast,"Raleigh, NC",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Minority,On-campus,2-Slightly,$69.140,$19.799,$92.939,Both,177,27%,$83.486,$3.777,$14.8m,Yes (Need-aware),Full ride,"Karsh International Scholarship, Robertson Scholarship",https://ousf.duke.edu/merit-scholarships/robertson-scholars-program/+%7C+https://ousf.duke.edu/merit-scholarships/karsh-international-scholars-program/,"Karsh: Fully funded scholarship for international students with demonstrated financial need. No separate application; apply for admission and financial aid. Robertson: Separate, extensive application process. Leadership-focused program for students at Duke and UNC-Chapel Hill.",$0,$4.000,Automatic consideration,"5,1%",4%,55%,,,,,,"4,1%",Early Decision only,,global_top_208
Emory University,Atlanta,GA,Georgia,Private,Southeast (Deep South),,City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,2-Slightly,$64.280,$20.220,$88.500,Both,66,6%,$56.780,$26.966,$3.7m,No,Full ride,Emory College Woodruff Scholars,https://studentaid.emory.edu/undergraduate/apply/new-students/international.html,"Emory offers need-based aid and merit-based scholarships to international students. To be considered for merit awards like the Woodruff Scholarship, students must select one of the scholar programs on their application and submit required essays.",$0,$4.000,Requires application,"10,0%","6,6%",40%,50%,7548,498,248,110,"8,8%",Early Decision only,Yes,global_top_209
