University/College Name,City,State,Name of the state,In US News national T25/ LAC T5?,In US News or Forbes national T100 / LAC T40,In Times Higher Education or QS Global Top 200?,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Religious affiliation/influence,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,COA from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Name and info,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,University/College Name,Name of Biggest Scholarship,Bigges Scholarship's Link,Scholarship's Information,How to apply,Aid application award rate,"First-time, full- time first-year students whose need was fully met","First-time, full-time first-year students (enrolled) - Average percent of need met",Acceptance rate,International admission rate,Admission rate data from class year,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,International admission rate/yield data source,Acceptance rate data source,Number of countries represented among admitted students,Regular Decision acceptance rate,Regular Decision acceptance rate from class year,Early plan offered?,Early Decision 2 offered?,Early Decision acceptance rate,Early Decision acceptance rate from year,Early Decision advantage over Regular Decision,Percent of class of 2027 filled ED,Early Action acceptance rate,Early Action acceptance rate from class year,Early Action advantage over Regular Decision,Testing Requirements,Percent of accepted students who submitted SAT scores,Percent of accepted students who submitted ACT scores,SAT comp 50%ile,SAT Math 25%ile,SAT Math 75%ile,SAT EBRW 25%ile,SAT EBRW 75%ile,ACT comp 25%ile,ACT comp 50%ile,ACT compo 75%ile,ACT math 25%ile,ACT math 75%ile,ACT English 25%ile,ACT English 75%ile,ACT Reading 25%ile,ACT Reading 75%ile,ACT Science 25%ile,ACT Science 75%ile,Testing - main data source,International 4-year graduation rate (IPEDS),International 5-year graduation rate (IPEDS),International 6-year graduation rate (IPEDS),Percent of international graduates who take longer than 4 years,International transfer-out rate,International transfer-out rate,Early Decision application deadline,Early Action application deadline,Priority Deadline,Rolling admission?,Regular Decision deadline,Accepts applications after deadline on space available basis?,Early Action/Early Decision document deadline,Early Action/Early Decision financial aid deadline,Latest testing for Early Action/Early Decision,Early Action/Early Decision notification date,Early Decision 2 Application deadline,Early Decision 2 Financial aid deadline,Early Decision 2 Notification Date,Regular Decision document deadline,Latest testing accepted Regular Decision,Regular Decision/only financial aid deadline,Regular Decision notification date,Latest CDS available,US News National Universities 2025,Times Higher Education 2024 World Universities,THE - rank within USA,QS World Universities,QS World Universities (within United States),WSJ Best Colleges Rank,WSJ Best Colleges Score,US News National Liberal Arts Colleges,QS World International student rank,QS World International Student score,US News Undergrad CS,US News CS: AI,QS Computer Science,CSRankings.org Overall ranking,US News Undergraduate Business,QS Business,US News Undergrad Economics,US News Top 50 engineering? either doctorate or non-doctorate,US News Undergrad Engineering programs: Doctorate,US News Undergrad Engineering programs: Non- Doctorate,US News Undergrad Mechanical Engineering,US News Undergrad Electrical Engineering,US News Undergraduate Computer Engineering,US News Undergrad Biomedical Engineering,US News Undergrad Chemical Engineering,Range between average temperatures (coldest and hottest months) (°C),Coldest month (2023),Coldest montly avg low in 2023 (°C),Average temp in 2023 (°C),Warmest monthly avg high in 2023 (°C),Warmest month (2023),Driest month in 2023,Lowest monthly rainfall (cm),Average monthly rainfall (cm),Highest monthly rainfall (cm),Rainest month in 2023,"Abortion law status (NYT, as of October 28, 2024)",Currently legal until,"Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health)","On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE)",On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE),Source_List
Amherst College,Amherst,MA,Massachusetts,Yes,Yes,,Private,Northeast (New England),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,None,$0,$70.480,$18.390,$92.870,24-25,Need,199,"84,3%",$81.202,$7.638,CDS24,$16.2m,Yes (Need-blind),,,,,Amherst College,,,,,68%,57%,84%,"9,8%","2,7%",2027,39%,45%,4955,134,60,CDS24,CDS24,,"8,8%",2027,Early Decision only,,"27,1%",2027,3.1x,38%,,,,Optional,38%,17%,1520,670,780,690,770,31,33,35,28,35,32,35,32,36,30,35,CDS24,58%,71%,76%,24%,0%,No,11/8/2024,,,,1/6/2025,,11/15/2024,11/15/2024,Not specified,Mid-December,,,,1/6/2025,Not specified,1/15/2025,3/20/2025,23-24,,,,,,8,"88,4",2,,,87,,,,,,51,,,,,87,,,,"23,86",Feb,"-5,33","10,98","29,74",Jul,Feb,"41,72","121,8","299,4",Jul,Legal,Viability,"0,6",0,17,generous_aid
Babson College,Babson Park,MA,Massachusetts,,Yes,,Private,Northeast (New England),"Boston, MA",Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,None,$0,$57.152,$21.550,$82.702,24-25,Both,91,"11,8%",$47.628,$33.190,CDS24,$4.3m,Yes (Need-aware),Full ride+stipend,,$0,$0,Babson College,Global Scholarship plus need-based supplement,https://www.babson.edu/undergraduate/admission/tuition-and-financial-aid/international-students/,"A four-year, full-tuition scholarship for international students. Admission is need-aware. Requires the CSS PROFILE for consideration. Aims to admit highly qualified candidates from around the world.",Automatic consideration,49%,35%,71%,20%,,2027,40%,-,,-,-,,USN25,,15%,2027,Both,Yes,"32,7%",2027,2.2x,49%,"20,8%",2027,1.4x,Optional,30%,6%,1440,720,780,660,720,30,31,33,28,32,29,35,31,36,,,CDS24,91%,95%,96%,5%,,Yes,11/1/2024,11/1/2024,,,1/2/2025,,,11/15/2024,Not specified,Early Decision 1 by mid-De,1/2/2025,2/1/2025,Mid-February,,,2/1/2025,,23-24,,,,,,10,"87,9",,,,,,,,36,,,,,,,,,,,"23,22",Feb,"-4,99","11,53","30,02",Jul,Feb,"36,72","125,9","241,8",Jul,Legal,Viability,"0,9","7,2","8,6",generous_aid
Berea College,Berea,KY,Kentucky,,Yes,,Private,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,None,$0,$49.326,$7.892,$61.218,23-24,Both,,"100,0%",N/A,N/A,,,Yes (Need-aware),Full ride,,$0,$4.000,Berea College,Automatic,https://www.berea.edu/costs-and-financial-aid-for-international-students,Berea College provides 100% funding to all enrolled international students for the first year of enrollment. This combines financial aid and scholarships. A separate application is not required.,Automatically Award,100%,100%,100%,33%,5%,2027,61%,-,,-,USN25,,USN25,,33%,2027,Early Action Only,,,,,,,,,Required,6%,20%,1260,570,660,590,680,24,25,27,20,26,23,29,24,32,23,26,USN25,76%,90%,93%,18%,3%,Yes,,11/1/2024,,,12/31/2024,,,,Not specified,Mid-late December,,,,,,,,N/A,,,,,,150,"70,3",40,,,,,,,,,,,,,,,,,,"18,81",Jan,"0,8","14,35","29,74",Jul,Nov,42,"89,0","147,3",Jan,Banned,—,"1,5",0,5,generous_aid
Bowdoin College,Brunswick,ME,Maine,Yes,Yes,,Private,Northeast (New England),,Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,None,$0,$67.832,$18.488,$90.320,24-25,Need,83,"66,4%",$77.156,$9.444,CDS24,$6.4m,Yes (Need-blind),,,,,Bowdoin College,,,,,59%,49%,83%,"8,0%","1,9%",2027,57%,67%,3921,73,49,CDS24,CDS24,,"6,4%",2027,Early Decision only,Yes,"17,6%",2027,2.7x,55%,,,,Optional,37%,22%,1510,750,790,730,760,33,34,35,30,34,34,36,34,36,32,35,CDS24,92%,96%,100%,8%,0%,No,11/15/2024,,,,1/6/2025,,11/15/2024,11/15/2024,Not specified,Mid-December,1/6/2025,1/6/2025,early February,1/6/2025,Not specified,2/1/2025,,23-24,,,,,,89,"75,2",5,,,214,,,,,,65,,,,,214,,,,"24,82",Feb,"-7,69","9,28","25,84",Jul,Feb,"38,46","125,5","187,8",Dec,Legal,Viability,"0,8",0,"8,2",generous_aid
Brandeis University,Waltham,MA,Massachusetts,,Yes,,Private,Northeast (New England),"Boston, MA",City: Small,5K - 10K,Coeducational,No,Arts and Sciences,ea,On-campus,2-Slightly,Jewish (non-den,$0,$68.080,$18.584,$90.664,24-25,Both,153,"20,1%",$45.081,$42.961,CDS24,$6.9m,Yes (Need-aware),Demonstrated Need,,$0,$0,Brandeis University,Wein International Scholarship,https://www.brandeis.edu/isso/programs/wien/index.html,"For international students with strong academic records and a history of leadership. Requires a separate application, including a nomination form and essays. Focuses on students who will contribute to the campus community.",Requires application,62%,45%,73%,"35,3%","15,4%",2027,22%,30%,3686,567,169,CDS24,CDS24,,"34,3%",2027,Early Decision only,Yes,"48,7%",2027,1.4x,47%,,,,Optional,31%,12%,1450,690,770,680,750,31,33,34,28,34,32,35,33,36,31,35,CDS24,78%,88%,91%,14%,2%,No,11/1/2024,,,,1/2/2025,,,11/1/2024,Not specified,12/15/2024,1/2/2025,CSS profile dea,2/1/2025,,,1/15/2025,4/1/2025,23-24,63,251,66,661,103,223,"64,5",,186,"75,1",111,,661,108,94,,65,,,,,111,,,,"23,16",Feb,"-5,13","11,42","29,82",Jul,Feb,"37,7","130,7","225,3",Jul,Legal,Viability,"0,5",0,"3,2",generous_aid
Brown University,Providence,RI,Rhode Island,Yes,Yes,Yes,Private,Northeast (New England),,City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,None,$0,$71.312,$17.444,$92.756,24-25,Need,265,"29,9%",$78.765,$10.063,CDS24,$20.9m,Yes (Need-blind),,,,,Brown University,,,,,64%,51%,80%,"5,2%","3,8%",2028,63%,65%,10646,401,261,CDS24,WEBPR,166,"3,8%",2028,Early Decision only,,"14,4%",2028,3.8x,52%,,,,Required,54%,22%,1540,760,800,740,770,34,35,35,32,35,35,36,34,36,33,36,CDS24,85%,90%,96%,11%,,No,11/1/2024,11/1/2024,,,1/3/2025,,,11/1/2024,October,Mid-December,,,,,December,2/1/2025,,23-24,13,64,26,73,23,67,"77,2",,289,"50,9",25,,73,41,,401,11,Yes,43,,,25,,,,"22,54",Feb,"-3,76","11,81","28,55",Jul,Feb,"38,37","124,5","227,2",Jul,Legal,Viability,"2,4",0,"23,4",generous_aid
Carleton College,Northfield,MN,Minnesota,,Yes,,Private,Midwest (Great Plains),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,None,$0,$68.892,$17.586,$90.478,24-25,Both,90,"45,5%",$62.637,$23.530,CDS24,$5.6m,Yes (Need-aware),Full ride+stipend,,$0,$2.000,Carleton College,Starr Scholarship,https://www.carleton.edu/international/applying/looking/scholarship/,Provides comprehensive financial support for talented students from Asia. Applicants must demonstrate exceptional academic and personal promise. A separate application is not required but students must indicate interest.,Automatic consideration,65%,53%,82%,"22,3%","5,2%",2027,37%,48%,2737,141,68,CDS24,CDS24,,"20,5%",2027,Early Decision only,,"38,8%",2027,1.9x,46%,,,,Optional,32%,28%,1490,710,740,700,760,32,33,34,29,34,33,35,33,36,30,35,CDS24,88%,92%,92%,4%,,No,11/15/2024,,,,1/15/2025,,11/15/2024,11/15/2024,Not specified,12/15/2024,,,,1/15/2025,February,1/15/2025,4/1/2025,23-24,,,,,,218,"64,8",8,,,162,,,,,,65,,,,,162,,,,"29,98",Feb,"-13,89","8,57","28,83",Jun,Nov,"1,51","63,0","142,5",Oct,Legal,No limit,"0,6",0,"14,8",generous_aid
Centre College,Danville,KY,Kentucky,,,,Private,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,Mainline Protest,$5.000,$52.820,$13.940,$70.760,24-25,Both,64,"100,0%",$47.939,$20.381,USN25,$3.1m,No,Full ride+stipend,,$0,$2.000,Centre College,Lincoln Scholarship,https://www.centre.edu/admission-aid/scholarships-fellowships,A premier scholarship program for students who demonstrate high academic achievement and leadership. Automatic consideration for top applicants; selected students are invited to apply.,Requires application,86%,64%,74%,56%,15%,2027,21%,-,,-,USN25,,USN25,,36%,2027,Both,Yes,72%,2027,2.0x,31%,"66,5%",2027,1.8x,Optional,9%,46%,1320,620,740,610,680,26,30,32,24,30,25,34,28,34,25,32,USN25,71%,75%,79%,10%,,Yes,11/1/2024,11/15/2024,,,2/1/2025,,,Early Decision 1 by Nov 1;,Not specified,Early Decision 1 by Dec 1;,1/15/2025,1/15/2025,2/15/2025,,,2/1/2025,,22-23,,,,,,163,"69,4",59,,,,,,,,,198,,,,,,,,,"18,93",Jan,"0,72","14,32","29,81",Jul,Sep,"41,13","90,0","154,7",Jan,Banned,—,no data,0,6,generous_aid
College of the Holy Cross,Worcester,MA,Massachusetts,,Yes,,Private,Northeast (New England),"Boston, MA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,3-Somewhat,Catholic (Jesuit),$0,$64.500,$18.820,$87.320,24-25,Need,41,"47,1%",$81.875,$725,CDS24,$0.1m,Yes (Need-aware),,,,,College of the Holy Cross,-,,-,-,69%,45%,,"21,1%","10,5%",2027,45%,29%,928,97,28,CDS24,CDS24,,17%,2027,Early Decision only,Yes,67%,2027,3.9x,62%,,,,Optional,35%,19%,1340,620,700,630,720,28,30,32,25,30,26,34,31,35,31,35,CDS24,75%,90%,90%,17%,0%,No,11/15/2024,,,,1/15/2025,,,,January,12/15/2024,1/15/2025,,2/15/2025,,January,,,23-24,,,,,,60,78,28,,,,,,,,,114,,,,,,,,,"23,05",Feb,"-4,95","10,92","29,06",Jul,Feb,"36,69","130,8","292,3",Jul,Legal,Viability,"1,1",0,"26,8",generous_aid
Cooper Union for Adv. of Sci. & Art,New York,NY,New York,,Yes,,Private,Northeast (Mid-Atlantic),New York City,City: Large,<1K,Coeducational,No,Professional,Very High,On-campus,0-None,None,$0,$46.820,$19.090,$69.910,24-25,Both,109,"100,0%",$24.616,$44.854,USN25,$2.7m,Yes (Need-blind),50% tuition,,$23.410,$46.500,Cooper Union for Adv. of Sci. & Art,Half-tuition scholarship,https://cooper.edu/admissions/afford,All admitted undergraduate students receive a half-tuition scholarship. Financial aid is need-based to cover remaining costs. The award is automatic with admission.,Automatically Award,79%,63%,80%,19%,18%,2027,53%,-,,-,USN25,,USN25,,19%,2027,Early Decision only,,21%,2027,1.1x,22%,,,,Optional,43%,9%,1470,720,780,680,740,33,33,34,32,35,33,35,32,35,32,34,USN25,55%,68%,78%,29%,,No,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,Yes,,8,10,,11,,,"21,78",Feb,"-0,15","14,19","30,76",Jul,Feb,"35,76","122,6","298,8",Sep,Legal,Viability,"1,9",0,0,generous_aid
