;;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;App Fees²;App Fees²;Common App;Common App;Supplements;Supplements;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
East Texas A&M University;Coed;;;;;;Rolling;0;0;;;;;F;None;;;;;;
Aberystwyth University;Coed;;;;;;Rolling;0;0;Yes;;;;F;See Website;See Website;;;;Y;Y
Abilene Christian University;Coed;;;11/1/2024;;;2025-02-01;50;50;;;;;F;SAT without Essay or ACT without Essay;;;;;;
Adams State University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Adelphi University;Coed;;;12/1/2024;;;Rolling;50;50;Yes;;SR;;S;SAT without Essay or ACT without Essay;;;;;Y;Y
Agnes Scott College;Women;11/1/2024;;11/15/2024;1/15/2025;;2025-03-15;0;30;Yes;;;;N;None;;;;;Y;
Alaska Pacific University;Coed;;;;;;Rolling;35;35;;;;;I;None;See Website;;;;;
Albany College of Pharmacy and Health Sciences;Coed;11/1/2024;;11/15/2024;;;2025-02-01;0;0;Yes;;;;S;See Website;See Website;1;;;;Y
Albertus Magnus College;Coed;;;12/15/2024;2/15/2025;;2025-07-29;0;100;Yes;;;;N;None;;;;;;Y
Albion College;Coed;11/1/2024;;12/1/2024;;;Rolling;0;25;;;;;N;None;See Website;;;;;
Albright College;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;Y
Alfred University;Coed;;;12/1/2024;;;2025-07-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;;;;;Y;Y
Allegheny College;Coed;11/1/2024;;12/1/2024;;;2025-02-15;0;0;Yes;;;;N;See Website;See Website;;;;Y;Y
Alma College;Coed;;;;;;Rolling;0;0;;;;;S;See Website;I or T or P;;;;;Y
Alvernia University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;Y;;
AMDA College of the Performing Arts;Coed;;;;;;Rolling;0;0;Yes;;;;N;See Website;See Website;1;;;;Y
AMDA The American Musical and Dramatic Academy;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;1;;;;Y
American College of the Mediterranean (ACM);Coed;;;1/17/2025;;;2025-05-16;50;50;;;;;N;None;See Website;1;;;Y;Y
American International College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
American University;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;75;75;Yes;;SR;;N;None;See Website;1;;Y;;Y
American University in Bulgaria;Coed;;;1/15/2025;3/15/2025;;2025-05-15;0;0;Yes;;;;S;See Website;C or D or I or T;1;;;;Y
American University of Beirut (AUB);Coed;;;10/31/2024;;;2024-12-20;50;50;;;;;A;See Website;See Website;;;;;Y
Amherst College;Coed;11/8/2024;;;;;2025-01-06;75;75;Yes;Yes;;Yes;N;None;See Website;2;;Y;Y;Y
Anderson University (IN);Coed;;;;;;Rolling;0;50;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;
