University/College Name;School Link;City;State;Name of the state;Control;Region;Accessible to Metropolitan Area;Setting;Insituation Size;Coeducational or Single-sex?;HBCU?;Primary Focus;Undergraduate?;Where do most students live?;Religious;Budget Category;Tuition and fees without aid;Room and board;Total cost of attendance without aid;Cost of Attendance from year;Types of Aid for international students;Number of international students awarded financial aid/scholarships;Percentage of International students who receive aid;Average amount awarded;Average cost in 2023-2024 after aid (merit or need);Total awarded in millions;Meets full demonstrated need?;Amount of largest Merit Scholarship;Scholarship's Name and Information;Scholarship's Link;Scholarship's Information;2024-2025 adjusted tuition after Merit Scholarship;2024-2025 cost of attendance after largest Merit Scholarship;How to apply;Acceptance rate;International admission rate;Yield (approximate);International yield;Class of 2027 - international applications;Class of 2027 - international students admitted;Class of 2027 international accepted offer/enrolled;Regular Decision acceptance rate;Regular Decision acceptance rate from class year;Early plan offered?;Early Decision 2 offered?;Early Decision acceptance rate;Early Decision acceptance rate from year;Early Decision advantage over Regular Decision;Percent of class of 2027 filled ED;Early Action acceptance rate;Early Action acceptance rate from class year;Early Action advantage over Regular Decision;Testing Requirements;Percent of accepted students who submitted SAT scores;Percent of accepted students who submitted ACT scores;SAT comp 50%ile;SAT Math 25%ile;SAT Math 75%ile;SAT EBRW 25%ile;SAT EBRW 75%ile;ACT comp 25%ile;ACT comp 50%ile;ACT compo 75%ile;ACT math 25%ile;ACT math 75%ile;ACT English 25%ile;ACT English 75%ile;ACT Reading 25%ile;ACT Reading 75%ile;ACT Science 25%ile;ACT Science 75%ile;Testing - main data source;International 4-year graduation rate (IPEDS);International 5-year graduation rate (IPEDS);International 6-year graduation rate (IPEDS);Percent of international graduates who take longer than 4 years;International transfer-out rate;Early Decision application deadline;Early Action application deadline;Priority Deadline;Rolling admission?;Regular Decision deadline;Accepts applications after deadline on space available basis?;Early Action/Early Decision document deadline;Early Action/Early Decision financial aid deadline;Latest testing for Early Action/Early Decision;Early Action/Early Decision notification date;Early Decision 2 Application deadline;Early Decision 2 Financial aid deadline;Early Decision 2 Notification Date;Regular Decision document deadline;Latest testing accepted Regular Decision;Regular Decision/only financial aid deadline;Regular Decision notification date;Latest CDS available;US News National Universities 2025;Times Higher Education 2024 World Universities;THE - rank within USA;QS World Universities;QS World Universities (within United States);WSJ Best Colleges Rank;WSJ Best Colleges Score;US News National Liberal Arts Colleges;QS World International student rank;QS World International Student score;US News Undergrad CS;US News CS: AI;QS Computer Science;CSRankings.org Overall ranking;US News Undergraduate Business;QS Business;US News Undergrad Economics;US News Top 50 engineering? either doctorate or non-doctorate;US News Undergrad Engineering programs: Doctorate;US News Undergrad Engineering programs: Non- Doctorate;US News Undergrad Mechanical Engineering;US News Undergrad Electrical Engineering;US News Undergraduate Computer Engineering;US News Undergrad Biomedical Engineering;US News Undergrad Chemical Engineering;Abortion law status (NYT, as of October 28, 2024);Currently legal until;Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health);On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE);On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE);Source_List1;Source_List2;Source_List3;Source_List4;Source_List5;Source_List6
Adelphi University;https://www.adelphi.edu;Garden City;NY;New York;Private;Northeast (Mid-Atlantic);New York City;Suburb: Large;5K - 10K;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$49.110;$18.565;$71.675;24-26;Merit;115;41%;$25.053;$46.265;$2.9m;No;Full Tuition;Presidential Award and YouAreWelcomeHere Scholarship;https://www.adelphi.edu/aid/scholarships/institutional/undergraduate/;"Presidential Award: Merit-based scholarship; students are automatically considered with their admission application. YouAreWelcomeHere Scholarship: Awarded to two first-year international students. Eligible students are contacted directly to complete a separate application.";$0;$22.565;Automatic consideration;78%;48%;10%;-;;-;;71%;;Early Action Only;;;;;;;;;Optional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Agnes Scott College;https://www.agnesscott.edu;Decatur;GA;Georgia;Private;Southeast (Deep South);;Suburb: Large;1K - 9K;Women's;No;Arts and Sciences;Very High;On-campus;1-Historically;$35.000;$50.604;$13.605;$68.209;24-25;Both;19;100%;$34.874;$30.651;$0.7m;No;Full ride;Marvin B. Perry Presidential Scholarship;https://www.agnesscott.edu/admission/undergraduate-admission/scholarships-financial-aid/index.html;The college's most competitive, full-tuition Merit Scholarship. Top first-year applicants are invited to compete. Focuses on academics, leadership, character, and personal achievement. Renewable for up to four years.;$0;$4.000;By invitation only;68%;;19%;9%;;78;7;68%;;Both;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Alabama A&M University;https://www.aamu.edu;Normal;AL;Alabama;Public;Southeast (Deep South);;City: Midsize;5K - 10K;Coeducational;Yes;Professional;High;On-campus;0-None;;$26.626;$7.992;$38.618;24-25;Merit;No data;;No data;;;No;$8.610;Normalite Opportunity Scholarship;https://www.aamu.edu/admissions-aid/financial-aid/scholarships/index.html;For out-of-state, first-time freshmen. Must be unconditionally admitted. Award based on a Composite Predictive Index (CPI) score calculated during admission. Renewable with a 2.80 GPA and completion of 30 credit hours per year.;$18.016;$30.008;Automatically Awarded;66%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Albion College;https://www.albion.edu;Albion;MI;Michigan;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$30.000;$56.950;$13.500;$74.450;24-25;Merit;51;98%;$46.808;$25.508;$2.4m;No;$35.000;Distinguished Albion Scholarship;https://www.albion.edu/offices/financial-aid/aid-scholarships/scholarships/;Link directs to departmental awards. The main Merit Scholarships, such as the Distinguished Albion Scholarship, are awarded automatically upon admission based on the application file. No separate application is needed.;$21.950;$39.450;Automatic consideration;83%;;8%;;;;17;78%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Alfred University;https://www.alfred.edu;Alfred;NY;New York;Private;Northeast (Mid-Atlantic);;Rural: Distant;1K - 9K;Coeducational;No;Professional;High;On-campus;1-Historically;$35.000;$41.500;$15.380;$60.880;24-25;Merit;129;100%;$25.387;$32.383;$3.3m;No;;;;;;TBD;Unclear;48,3%;14,3%;12%;10%;2346;336;35;43%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Allegheny College;https://www.allegheny.edu;Meadville;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$30.000;$56.550;$14.940;$75.490;24-25;Merit;61;97%;$43.598;$29.158;$2.6m;No;$40.000;Trustee Scholarship;https://sites.allegheny.edu/admissions/scholarships/;Awarded to students who balance academic excellence with leadership, co-curricular involvement, and community engagement. Consideration is automatic with the admission application. No separate scholarship application required.;$16.550;$35.490;Automatic consideration;63,8%;15,8%;9%;5%;1009;159;8;51%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Alma College;https://www.alma.edu;Alma;MI;Michigan;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Balanced;Exclusively;On-campus;1-Historically;$30.000;$47.430;$13.128;$64.558;23-24;Both;31;97%;$35.566;$28.992;$1.1m;No;Full Tuition;Distinguished Presidential Scholarship;https://www.alma.edu/financial-aid/scholarships/;"The highest merit-based award. No separate application required; all applicants for admission are automatically considered based on academic performance and the rigor of their high school curriculum.";$0;$17.128;By invitation only;66%;18%;13%;-;;-;;66%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
American University;https://www.american.edu;Washington;DC;Dist. of Columbia;Private;Northeast (Mid-Atlantic);Washington, DC;City: Large;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$40.000;$58.772;$16.930;$79.702;24-25;Merit;51;07%;$40.714;$36.841;$2.1m;No;Full ride;Emerging Global Leader;https://www.american.edu/admissions/international/au-egls-apply.cfm;For high-achieving international students dedicated to positive civic and social change. Requires a separate application, bank letter, and English proficiency scores. Preference for those from diverse, underrepresented backgrounds.;$0;$4.000;Requires application;47,4%;38,3%;22%;17%;1096;420;71;45,7%;;Both;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Amherst College;https://www.amherst.edu;Amherst;MA;Massachusetts;Private;Northeast (New England);;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$10.000;$70.480;$18.390;$92.870;24-25;Need;199;84%;$81.202;$7.638;$16.2m;Yes (Need-blind);unknown;;;;;;Automatically Awarded;9,8%;2,7%;39%;45%;4955;134;60;8,8%;;Early Decision only;;27,1%;2027;3.1x;38%;;;;Optional;38%;17%;1520;670;780;690;770;31;33;35;28;35;32;35;32;36;30;35;CDS24;58%;71%;76%;24%;0%;11/8/2024;;;;1/6/2025;;11/15/2024;11/15/2024;Not specified;Mid-December;;;;1/6/2025;Not specified;1/15/2025;3/20/2025;23-24;;;;;;8;88,4;2;;;87;;;;;;51;;;;;87;;;;Legal;Viability;0,6;0;17;early_admission;generous_aid;affordable;;;international_playlist
Andrews University;https://www.andrews.edu;Berrien Springs;MI;Michigan;Private;Midwest (Great Lakes);;Town: Fringe;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;5-Very;$30.000;$35.056;$10.726;$49.782;24-25;Both;229;76%;$18.834;$28.926;;;;;;;;;Unclear;78%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
