ID ,TITLE,AMOUNT,AWARDS,DEADLINE,SPONSORS,Description,Eligibility Requirements,STUDY LEVEL,FIELD OF STUDY,COUNTRY,OFFICIAL LINK,ADDITIONAL NOTES
SCH0001,MPOWER Monthly Scholarship - June 2025: Pride Month,"$1,000",3,2025/06/30,MPOWER Financing,"Our June scholarship celebrates the accomplishments of the LGBTQ+ community.
Monthly Scholarships for International Students

We're thrilled to announce our Monthly Scholarship Series! MPOWER is awarding US$48,000 this year to help 36 international students fund their education dreams.

How this works:
- On the first day of each month, check out this page to find out the scholarship theme for the month. 
- You can subscribe to our student newsletter to be alerted when the new scholarship is announced.
- Be sure to apply quickly! Applications will be open until the last Friday of the month.
Read below to find out more about this month's scholarship!","- Be admitted to, or enrolled in, a full-time degree program at a U.S. or Canadian school that MPOWER supports, and
- Be an international student permitted to legally study in the U.S. or Canada, as applicable:
  + For study in the U.S., this means that the applicant meets one of these criteria:
    - Has a valid visa that permits study in the U.S., or
    - Is protected under the Deferred Action for Childhood Arrivals (DACA)
  + For study in Canada, this means the applicant must meet the following criteria:
    - Has a valid Canadian study permit

U.S. citizens who wish to study in the U.S. and Canadian citizens who wish to study in Canada are not eligible for this scholarship.",All,All Fields,USA & Canada,https://www.mpowerfinancing.com/scholarships/monthly-scholarships,
SCH0002,MPOWER Global Citizen Scholarship,"$8,000 - $2,000 - $1,000",Not Specified,2025/07/31,MPOWER Financing,"We've intentionally designed the Global Citizen Scholarship to be as broad as possible to match the broad, diverse experiences of international and DACA students. There's no requirement to be an MPOWER borrower to apply!

At MPOWER, we believe that we're not just expanding access to higher education. We're also creating globally-minded, multi-lingual, culturally-competent graduates poised to take on the world's most pressing problems in science, technology, business, and public policy!

In recognition of the extraordinary potential of these students, we've created the MPOWER Global Citizen Scholarship. We've intentionally designed this scholarship program to be as broad as possible to match the broad, diverse experiences of international students. There's no requirement to be an MPOWER borrower to apply!

Scholarships awarded annually to international and DACA students enrolled at schools MPOWER supports. 

Awards:

Grand Prize: $8,000
First Runner-Up: $2,000
Second Runner-Up: $1,000","- Be accepted at, or enrolled in, a full-time degree program at a U.S. or Canadian school that MPOWER supports, and
- Be an international student allowed to legally study in the U.S. or Canada, as applicable:
   + For study in the U.S., this means that the applicant meets one of these criteria:
       - Has a valid visa that permits study in the U.S.
       - Is protected under the Deferred Action for Childhood Arrivals (DACA)
       - Is a U.S. permanent resident (Green Card holder)
   + For study in Canada, this means the applicant meets one of these criteria:
       - Is a Canadian permanent resident
       - Has a valid Canadian study permit

We have created this scholarship specifically for international and DACA students. Therefore, U.S. citizens wishing to study in the U.S. and Canadian citizens wishing to study in Canada are not eligible for this scholarship.",All,All Fields,USA & Canada,https://www.mpowerfinancing.com/scholarships/global-citizen,
SCH0003,MPOWER Women in STEM Scholarship,"$5,000 - $2,000 - $1,000",Not Specified,2025/07/31,MPOWER Financing,"We believe in addressing inequality in education. In recognition of the extraordinary potential of women in the sciences, we created the MPOWER Women in STEM Scholarship. You don't need to be an MPOWER borrower to apply! What are you waiting for?

Empowering women in STEM

In keeping with MPOWER's commitment to empower high-potential global citizens to realize their educational aspirations – and become tomorrow's leading scientists and innovators – this international scholarship program focuses on women who will use their STEM degree to benefit society and the planet and who have the potential to serve as role models and advocates for women in STEM.

The National Center for Education Statistics reported that 32% of STEM degrees in the U.S. were awarded to women in one year. Women majoring in computer engineering, nuclear science and software development, amongst others, should not be challenged in funding their dream. In addition, the Society of Women Engineers found that gender inequities are especially pronounced in engineering and computer science, with just 20% of bachelor's degrees in engineering and computer science held by women.

For MPOWER CEO and Co-founder Manu Smadja, these statistics represent a social challenge to address. 

""It's critical for us as a society to have a meaningful representation of women shaping the science and technology of tomorrow,"" Smadja says. ""The world may look a lot different if we do a better job at enabling female talent to shape the technologies transforming healthcare, education, transportation or cities for instance. 

""By helping talented female students study and work in North America, we're helping close the gender gap in the STEM workforce. But we'd like to do much more, and starting this new scholarship program for women in STEM is yet another way to level the playing field.""

Scholarships awarded annually to international and DACA students enrolled at schools MPOWER supports. 

Awards:

Grand Prize: $5,000
First Runner-Up: $2,000
Second Runner-Up: $1,000","- Be accepted at, or enrolled in, a full-time degree program at a U.S. or Canadian school that MPOWER supports, and
- Be an international student allowed to legally study in the U.S. or Canada, as applicable:
   + For study in the U.S., this means that the applicant meets one of these criteria:
       - Has a valid visa that permits study in the U.S.
       - Is protected under the Deferred Action for Childhood Arrivals (DACA)
       - Is a U.S. permanent resident (Green Card holder)
   + For study in Canada, this means the applicant meets one of these criteria:
       - Is a Canadian permanent resident
       - Has a valid Canadian study permit

We have created this scholarship specifically for international and DACA students. Therefore, U.S. citizens wishing to study in the U.S. and Canadian citizens wishing to study in Canada are not eligible for this scholarship.",All,STEM,USA & Canada,https://www.mpowerfinancing.com/scholarships/women-in-stem,
SCH0004,MPOWER MBA Scholarship,"$5,000 - $2,000 - $1,000",Not Specified,2025/07/31,MPOWER Financing,"Our newest scholarship is designed specifically for MBA students in the US and Canada.

We're thrilled to announce our new MBA scholarship! MPOWER will be awarding up to US$10,000 to support international students. You must be pursuing an MBA at an MPOWER-eligible school to apply, but you don't need to be an MPOWER borrower.

Awards:

Grand Prize: US$5,000
First Runner-Up: US$2,000
Second Runner-Up: US$1,000","- Be admitted to, or enrolled in, a full-time MBA degree program at a U.S. or Canadian school that MPOWER supports, and
- Be an international student permitted to legally study in the U.S. or Canada, as applicable:
  + For study in the U.S., this means that the applicant meets one of these criteria:
    - Has a valid visa that permits study in the U.S., or
    - Is protected under the Deferred Action for Childhood Arrivals (DACA)
  + For study in Canada, this means the applicant must meet the following criteria:
    - Has a valid Canadian study permit

U.S. citizens wishing to study in the U.S. and Canadian citizens wishing to study in Canada are not eligible for this scholarship.",Master's,Business,USA & Canada,https://www.mpowerfinancing.com/scholarships/mba-scholarship,
SCH0005,REVIEW IT Scholarship,"$1,000",1,2025/05/15,Dr. Gabriel and Christine Chiu,"Dr. Gabriel and Christine Chiu are active philanthropists who avidly support a variety of organizations such as: Children Mending Hearts, Cedars Sinai, the American Red Cross, St. Jude Children's Research Hospital, John Wayne Cancer Institute, Children's Action Network, GenArt, AVIVA, Project Angel Food, Center Dance Arts, Barbara Davis Center for Childhood Obesity, the Metropolitan Museum of Art, Help for Orphans, the American Red Cross, P.S. Arts, Los Angeles Philharmonic, Art of Elysium, Nancy Davis Foundation for Multiple Sclerosis, Children's Action Network and the Music Center.","To be considered eligible for the ""Review It"" Scholarship you must:

A) Be attending college or university no later than September of 2025.

B) Have achieved a GPA of 2.5 or greater during their last academic year.

C) Be attending or planning to attend a school in the US.

D) Submit your Movie Review no later than 11:59 PM EST on the day of the deadline.

*Note that you can be enrolled in any field of study

The scholarship winner will be announced roughly six weeks after the deadline and will be posted on this website immediately after. All applications must be received by 11:59 PM EST on the day of the deadline. No late applications will be reviewed.",All,All Fields,USA,https://chiureviewsscholarship.com/reviews.php,
SCH0006,Study a Bachelor's in the USA Scholarship 202,"$5,000",Not Specified,2025/06/28,educations.com,"Are you looking for scholarships to study in the USA? We can help! At educations.com, we believe that students who study abroad become the next generation of globally-minded adventurers – so we want more of you to do it!

We know that when studying abroad in America, scholarships are crucial. That's why we're offering one Bachelor's degree scholarship of up to $5,000 to help cover your tuition fees and get you one step closer to your next great adventure.

This Bachelor's degree scholarship will be awarded for students beginning their studies in the Fall 2025 semester or after and is worth up to $5,000. It's open to students from any country who will be studying a Bachelor's degree abroad at a college or university in the USA.

Our ideal candidate
Are you the next globally-minded adventurer?

If you're planning on studying abroad in America, scholarships are only one part of your journey. We already know you have a courageous and adventurous spirit because of your decision to study abroad, but what else are we looking for in a candidate?

You are:

Globally-minded and interested in other cultures
A high academic achiever with consistently outstanding grades
Involved in extracurricular groups and activities
Excited to begin your adventure and share your story with the world!","To apply for our scholarship:

You must have applied (or will apply) to a college or university in the USA.
You must have applied (or will apply) for a Bachelor's level degree starting in Fall 2025.
The degree program must be studied either on campus or online via distance learning from an institute based in the USA.
You must meet the entry requirements for the college or university, including:
Holding a valid transcript from your high school (or equivalent)
Meeting any language requirements for the program
You must hold or be eligible to apply for a relevant study visa (if applicable).
You cannot hold US citizenship or currently reside in the USA unless you are currently studying abroad.",Bachelor's,All Fields,USA,https://www.educations.com/scholarships/study-a-bachelors-in-usa-19901,
SCH0007,Study a Master's in Europe Scholarship 2026,"€5,000",Not Specified,2025/05/15,educations.com,"Looking for a Master's degree scholarship in Europe? We can help. At educations.com, we believe that students who study abroad become the next generation of globally minded leaders—and we want more of you to do it!

Europe is an incredible place to study abroad, but many of you need a scholarship for Master's degree studies to make your dreams come true. That's why we're offering one Master's degree scholarship of up to €5000 to help cover your tuition fees and get you one step closer to your next great adventure.

The scholarship will be awarded for the Fall 2026 semester onwards up to a value of €5000, and is open to students from any country who will be studying a Master's degree abroad at a European university or graduate school.

The application period ends on May 15, 2026 at 12:00 CEST.

Our ideal candidate
Are you the next globally-minded leader?

If you're looking for a scholarship in Europe, we know you're well on your path to studying abroad. Having taken this leap, it's clear that you have a courageous and adventurous spirit. What else are we looking for in a candidate?

Globally minded and interested in other cultures
Motivated and inspired to positively change the world
A high academic achiever with consistently outstanding grades
Involved in extra-curricular groups and activities
Excited to begin your adventure and share your story with the world!","To apply for this scholarship:

You must have applied (or will apply) to a university or graduate school within Europe.
You must have applied (or will apply) for a Master's-level degree starting in the Fall of 2026.
The degree program must be studied in Europe or online via distance learning from a European institute.
You must meet the entry requirements for the university or graduate school, including:
Holding a valid undergraduate (Bachelor's) degree
Meeting language requirements for the program
You must hold or be eligible to apply for a relevant study visa (if applicable).
You must be studying abroad in a country:
Where you do NOT hold citizenship 
That you do NOT currently reside in (unless currently studying abroad).",Master's,All Fields,Europe,https://www.educations.com/scholarships/study-a-masters-in-europe-15211,
SCH0008,Go Global MBA Scholarship 2026,"$7,000",Not Specified,2026/04/24,educations.com,"Looking for an MBA scholarship? You're in the right place!

We know that finding MBA scholarships isn't easy. At educations.com, we believe that studying abroad helps shape the next generation of globally-minded leaders in business – and we want more of you to have that opportunity.

The Go Global scholarship for MBA studies will be awarded from the Fall 2026 semester onwards up to a value of $7,000, and is open to students from any country who will be studying for an MBA degree abroad at a university or business school.

The application period ends on April 24, 2026 at 12:00 CEST

Our ideal candidate
Are you the next globally-minded leader in business?

Our MBA scholarships aim to help students take the next step in their careers and study an MBA abroad. Your choice to study abroad already demonstrates your dream of working across borders and communities. Here's what else we're looking for in a candidate:

Globally-minded leader in business aiming for an international career
At the beginning of your career in business management
Self-starter with entrepreneurial spirit
Self-motivated and inspired to make your mark on industry
A strong interest in making the world more sustainable","To apply for this scholarship for MBA studies:

You must have applied (or will apply) for an MBA program that begins in Fall 2026.
You should have no more than 5 years of relevant professional work experience.
You must meet the entry requirements of your chosen university or business school, including:
Holding a valid undergraduate (Bachelor's) degree
Meeting the language requirements for the program
You must hold or be eligible to apply for a relevant study visa (if applicable).
You must be studying abroad in a country:
Where you do not hold citizenship
That you do not currently reside in (unless currently studying abroad)",Master's,Business,Global,https://www.educations.com/scholarships/go-global-mba-scholarship-20629,
SCH0009,Women's Scholarship for International Students 2025,"$5,000",Not Specified,2025/08/25,educations.com,"Are you a woman looking for scholarships to study abroad? We can help! This scholarship will be awarded for female students on all higher study level and is worth up to $5,000.

This women scholarship for international students will be awarded for female students beginning their undergraduate, graduate, or post-graduate studies in the Spring or Fall 2026 semester or after and is worth up to $5,000.

It's open to women international students from any country who will be studying an undergraduate, graduate, or post-graduate degree abroad at a college or university. The awards can be used to help cover your tuition fees and get you one step closer to your next great adventure.

Our ideal candidate
Are you the next globally-minded adventurer?

If you're a woman planning on studying abroad as an undergraduate, graduate, or post-graduate student, scholarships are only one part of your journey. We already know you have a courageous and adventurous spirit because of your decision to study abroad, but what else are we looking for in a candidate?

You are:
A globally-minded woman and interested in other cultures.
Planning to enroll or enrolled in an undergraduate, graduate, or post-graduate program.
A high academic achiever with consistently outstanding grades and achievements in your proposed field of study.
Involved in extracurricular groups and activities.
Excited to begin your adventure and share your unique story as a woman with the world!","To apply for our scholarship:

You must be a woman.
You must have a plan to enroll in any undergraduate, graduate, or post-graduate (doctoral-level) degree program at a college, university, or institute of higher education.
You must meet the entry requirements for the university or college of your choice.
Hold valid credentials required for enrollment.
Meet language requirements for the program.
You must hold or be eligible to apply for a relevant study visa.
You must not be a citizen or permanent resident of the country to which you are applying.",All,All Fields,Global,https://www.educations.com/scholarships/women-scholarship-for-international-students,
SCH0010,Graduate Study in the USA Scholarship 2025,"$5,000",Not Specified,2025/09/28,educations.com,"We know that when studying abroad in America, scholarships are crucial. That is why we are offering our first ever Master's degree scholarship to study in the USA in 2025!

At educations.com, we believe that students who study abroad become the next generation of globally-minded adventurers – so we want more of you to do it.

Graduate Study in the USA scholarship is our first ever Master's degree scholarship to help cover your tuition fees, and get you one step closer to your next great adventure, in the USA.

This Master's degree scholarship will be awarded for students beginning their studies in the Fall 2025or after and is worth up to $5,000. It's open to international students from any country outside the USA who will be studying a Master's degree abroad at a college or university in the USA.

The application period for this opportunity ends on 23 September 2025 at 12:00 CEST.

Our ideal candidate
Are you the next globally-minded adventurer?

If you're planning on studying abroad as a graduate student in America, scholarships are only one part of your journey. We already know you have a courageous and adventurous spirit because of your decision to study abroad, but what else are we looking for in a candidate?

You are:

Globally-minded and interested in other cultures
A high academic achiever with consistently outstanding grades
Involved in extracurricular groups and activities that support and compliment your studies
Excited to begin your adventure and share your story with the world!","To apply for our scholarship:

You must have a plan to enroll at any accredited graduate program in the USA
You must meet the entry requirements for the university or graduate school of your choice.
Hold valid credentials required for graduate enrollment
Meet language requirements for the program
You must hold or be eligible to apply for a relevant study visa.
You must not be a citizen or permanent resident of the USA.",Master's,All Fields,USA,https://www.educations.com/scholarships/graduate-study-in-the-usa-scholarship-2024,
