Variable Name;"Cohort/Measure in ""Most Recent"" Datafile";Merged file Drawn From (MergedXXXX_YY_PP.csv);;
UNITID;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
OPEID;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
OPEID6;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
INSTNM;AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2023-24, at latest) are included.;2023_24;;
CITY;AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2023-24, at latest) are included.;2023_24;;
STABBR;AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2023-24, at latest) are included.;2023_24;;
ZIP;AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2023-24, at latest) are included.;2023_24;;
ACCREDAGENCY;PEPS as of 02/06/2025;2023_24;;
INSTURL;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
NPCURL;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
SCH_DEG;AY 2015-16;2019_20;;
HCM2;FSA as of December 1, 2024;2023_24;;
MAIN;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
NUMBRANCH;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
PREDDEG;AY2022-23, reported in IPEDS DCY2023-24;2023_24;;
HIGHDEG;AY2022-23, reported in IPEDS DCY2023-24;2023_24;;
CONTROL;AcadYr 2023-24, reported in IPEDS DCY2023-24;2023_24;;
ST_FIPS;AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2023-24, at latest) are included.;2023_24;;
REGION;AcadYr 2023-24, reported in IPEDS DCY2023-24, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2023-24, at latest) are included.;2023_24;;
LOCALE;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
LOCALE2;NA;N/A;;
LATITUDE;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
LONGITUDE;"AcadYr 2023-24, reported in IPEDS DCY2023-24 if data was provided; otherwise AcadYr 2023-24, reported in IPEDS DCY2023-24";2023_24;;
